client,max_expected_revenue,best_product_type
545,7.687627,CL
667,0.0,CC
1360,0.0,CC
267,3.8000798,CC
1420,0.0,CC
1024,0.0,CC
119,7.926996,CL
1243,0.0,CC
505,0.0,CC
1320,0.0,CC
919,0.0,CC
144,0.0,CC
1440,0.0,CC
779,0.0,CC
889,0.0,CC
426,0.0,CC
373,0.0,CC
464,0.0,CC
958,0.0,CC
528,0.0,CC
64,0.0,CC
1509,0.0,CC
1172,0.0,CC
389,4.588662,CC
154,8.835175,CL
1466,0.0,CC
226,0.0,CC
1237,0.0,CC
400,0.0,CC
1430,0.0,CC
1089,0.0,CC
91,2.5317047,MF
1270,0.0,CC
1363,0.0,CC
1373,0.0,CC
1249,0.0,CC
165,0.0,CC
1153,0.0,CC
24,0.0,CC
1598,0.0,CC
314,0.0,CC
255,0.0,CC
1037,0.0,CC
595,0.0,CC
1546,3.3731678,CC
231,9.251538,CL
504,0.0,CC
1398,0.0,CC
756,2.4589074,MF
1088,0.0,CC
733,0.0,CC
57,0.0,CC
1510,0.0,CC
677,8.985654,CL
1518,0.0,CC
350,8.619758,CL
1300,0.0,CC
899,0.0,CC
459,0.0,CC
749,0.0,CC
807,0.0,CC
207,0.0,CC
951,3.4100711,CC
674,0.0,CC
696,0.0,CC
406,0.0,CC
1543,8.017839,CL
168,0.0,CC
454,0.0,CC
232,0.0,CC
1136,0.0,CC
216,0.0,CC
1614,0.0,CC
1551,0.0,CC
1086,0.0,CC
909,0.0,CC
331,0.0,CC
586,0.0,CC
228,0.0,CC
74,0.0,CC
1356,0.0,CC
1201,0.0,CC
817,0.0,CC
1444,0.0,CC
1389,0.0,CC
957,0.0,CC
383,0.0,CC
1475,0.0,CC
104,3.6532233,CC
1228,0.0,CC
1465,0.0,CC
214,0.0,CC
1449,0.0,CC
11,0.0,CC
126,8.741269,CL
1227,0.0,CC
456,0.0,CC
816,0.0,CC
1183,0.0,CC
329,7.8322496,CL
665,0.0,CC
100,0.0,CC
169,0.0,CC
1365,0.0,CC
752,0.0,CC
94,0.0,CC
1443,0.0,CC
1326,0.0,CC
105,0.0,CC
1288,0.0,CC
530,0.0,CC
535,3.9979177,CC
1422,0.0,CC
972,0.0,CC
1474,0.0,CC
1174,0.0,CC
949,0.0,CC
539,0.0,CC
587,3.5416381,CC
1407,0.0,CC
668,3.2316806,CC
945,0.0,CC
258,0.0,CC
409,0.0,CC
929,0.0,CC
474,0.0,CC
488,0.0,CC
847,0.0,CC
233,0.0,CC
791,0.0,CC
540,0.0,CC
246,0.0,CC
1200,0.0,CC
625,0.0,CC
1064,0.0,CC
396,0.0,CC
523,0.0,CC
1218,0.0,CC
97,0.0,CC
1271,0.0,CC
286,0.0,CC
780,0.0,CC
871,0.0,CC
641,0.0,CC
260,0.0,CC
39,0.0,CC
369,0.0,CC
309,0.0,CC
517,0.0,CC
1455,0.0,CC
1609,0.0,CC
1120,0.0,CC
1080,0.0,CC
392,0.0,CC
1138,0.0,CC
567,0.0,CC
326,0.0,CC
357,0.0,CC
30,0.0,CC
1525,0.0,CC
797,3.7579362,CC
1493,0.0,CC
98,0.0,CC
699,8.129054,CL
543,0.0,CC
1578,0.0,CC
362,0.0,CC
263,0.0,CC
1324,0.0,CC
227,0.0,CC
1357,0.0,CC
1147,0.0,CC
55,0.0,CC
1319,0.0,CC
531,0.0,CC
1097,0.0,CC
59,0.0,CC
769,3.805131,CC
1594,0.0,CC
1314,0.0,CC
1586,0.0,CC
786,0.0,CC
419,0.0,CC
467,0.0,CC
651,0.0,CC
1520,0.0,CC
933,0.0,CC
99,0.0,CC
967,7.450879,CL
473,0.0,CC
352,3.9104326,CC
916,0.0,CC
652,0.0,CC
471,0.0,CC
199,0.0,CC
423,0.0,CC
1297,0.0,CC
1004,0.0,CC
12,8.040524,CL
1252,0.0,CC
785,8.150394,CL
1566,0.0,CC
1234,0.0,CC
829,0.0,CC
1304,0.0,CC
432,0.0,CC
1310,0.0,CC
760,3.9119763,CC
708,0.0,CC
1148,0.0,CC
1173,0.0,CC
1150,0.0,CC
1098,0.0,CC
1414,0.0,CC
1096,0.0,CC
728,0.0,CC
151,2.6203809,CC
1054,0.0,CC
201,0.0,CC
851,3.093317,CC
626,0.0,CC
206,0.0,CC
1424,3.4958389,CC
1516,7.7658997,CL
217,8.343816,CL
1405,0.0,CC
176,0.0,CC
577,0.0,CC
1146,0.0,CC
659,0.0,CC
862,0.0,CC
1321,0.0,CC
1540,0.0,CC
1133,0.0,CC
1074,0.0,CC
338,8.708027,CL
3,0.0,CC
1010,0.0,CC
243,3.4119139,CC
844,0.0,CC
1112,0.0,CC
931,0.0,CC
1248,0.0,CC
1460,0.0,CC
664,0.0,CC
1507,0.0,CC
1047,3.968317,CC
594,0.0,CC
276,0.0,CC
368,0.0,CC
1441,0.0,CC
1176,0.0,CC
936,0.0,CC
1262,0.0,CC
738,0.0,CC
766,0.0,CC
283,0.0,CC
986,0.0,CC
430,0.0,CC
1194,0.0,CC
1077,2.2840698,MF
974,0.0,CC
1366,0.0,CC
1102,0.0,CC
902,0.0,CC
818,0.0,CC
1504,0.0,CC
1051,0.0,CC
1049,0.0,CC
1313,0.0,CC
336,0.0,CC
820,0.0,CC
484,0.0,CC
5,0.0,CC
51,0.0,CC
1562,0.0,CC
854,0.0,CC
1354,4.3269577,CC
562,8.93048,CL
41,8.702865,CL
541,0.0,CC
1134,0.0,CC
301,0.0,CC
1009,0.0,CC
460,8.237959,CL
925,0.0,CC
886,8.235347,CL
379,0.0,CC
1295,9.637765,CL
257,0.0,CC
10,0.0,CC
834,0.0,CC
155,0.0,CC
1541,0.0,CC
293,0.0,CC
312,0.0,CC
616,0.0,CC
1250,0.0,CC
239,0.0,CC
1332,0.0,CC
1072,0.0,CC
1132,0.0,CC
318,0.0,CC
1207,0.0,CC
188,0.0,CC
1082,7.7645884,CL
1497,0.0,CC
748,0.0,CC
347,0.0,CC
781,0.0,CC
356,0.0,CC
1211,0.0,CC
607,9.140779,CL
490,7.5871196,CL
1508,0.0,CC
635,0.0,CC
1553,3.4492123,MF
1448,0.0,CC
1433,0.0,CC
1050,0.0,CC
1028,0.0,CC
274,0.0,CC
690,0.0,CC
660,0.0,CC
1007,1.4153243,MF
1241,2.900566,CC
592,3.196724,CC
32,0.0,CC
141,0.0,CC
1390,0.0,CC
976,0.0,CC
511,0.0,CC
386,0.0,CC
852,9.534101,CL
765,0.0,CC
1336,0.0,CC
1114,0.0,CC
431,0.0,CC
603,0.0,CC
367,0.0,CC
435,0.0,CC
63,0.0,CC
870,0.0,CC
1512,0.0,CC
707,0.0,CC
923,0.0,CC
842,0.0,CC
401,0.0,CC
1478,0.0,CC
1339,0.0,CC
841,0.0,CC
1181,0.0,CC
565,0.0,CC
532,0.0,CC
1501,0.0,CC
811,0.0,CC
296,0.0,CC
1526,0.0,CC
1260,3.1114762,CC
516,0.0,CC
999,0.0,CC
1093,0.0,CC
485,9.333296,CL
669,0.0,CC
382,3.6930075,CC
175,0.0,CC
1445,0.0,CC
891,0.0,CC
1589,0.0,CC
145,3.7946987,CC
583,0.0,CC
566,0.0,CC
1331,3.5760527,CC
1341,7.6680117,CL
994,0.0,CC
1280,3.808329,CC
235,0.0,CC
787,0.0,CC
1410,3.0204618,CC
1604,0.0,CC
706,7.9201775,CL
1289,0.0,CC
340,3.6611152,CC
685,0.0,CC
1105,0.0,CC
1480,0.0,CC
70,0.0,CC
1349,0.0,CC
299,0.0,CC
152,0.0,CC
180,0.0,CC
1482,0.0,CC
164,7.857243,CL
596,0.0,CC
224,0.0,CC
1358,8.84619,CL
559,0.0,CC
1129,3.8459258,CC
887,0.0,CC
124,0.0,CC
1251,0.0,CC
724,0.0,CC
965,0.0,CC
1204,0.0,CC
1599,0.0,CC
183,0.0,CC
538,0.0,CC
440,0.0,CC
778,0.0,CC
954,0.0,CC
759,0.0,CC
590,0.0,CC
681,0.0,CC
307,0.0,CC
375,0.0,CC
697,0.0,CC
1127,0.0,CC
1119,9.493362,CL
332,0.0,CC
1101,0.0,CC
688,0.0,CC
1263,0.0,CC
146,0.0,CC
1145,0.0,CC
54,0.0,CC
571,0.0,CC
19,4.602499,CC
1447,0.0,CC
794,7.360657,CL
1185,0.0,CC
1588,3.3450599,CC
768,0.0,CC
959,0.0,CC
524,9.052366,CL
1257,0.0,CC
403,0.0,CC
496,0.0,CC
358,0.0,CC
458,0.0,CC
16,3.2979558,CC
289,3.0163093,CC
196,0.0,CC
654,0.0,CC
1222,3.1977966,CC
1377,0.0,CC
121,0.0,CC
996,0.0,CC
333,8.578618,CL
1076,3.5936933,CC
364,0.0,CC
1110,0.0,CC
1385,0.0,CC
463,0.0,CC
620,0.0,CC
429,0.0,CC
783,0.0,CC
1063,8.20179,CL
1095,0.0,CC
1039,0.0,CC
411,3.361148,CC
381,0.0,CC
1489,0.0,CC
138,0.0,CC
101,0.0,CC
1281,0.0,CC
866,0.0,CC
948,8.575537,CL
513,3.4086535,CC
153,0.0,CC
987,0.0,CC
727,0.0,CC
487,0.0,CC
476,0.0,CC
197,3.3529532,CC
1416,0.0,CC
991,0.0,CC
1278,3.032718,CC
229,0.0,CC
161,0.0,CC
1069,0.0,CC
1240,0.0,CC
1419,0.0,CC
647,0.0,CC
710,9.172381,CL
656,0.0,CC
1530,0.0,CC
1343,0.0,CC
1359,0.0,CC
1468,0.0,CC
1057,0.0,CC
427,0.0,CC
1458,0.0,CC
109,0.0,CC
1491,0.0,CC
1124,0.0,CC
893,0.0,CC
61,0.0,CC
1242,0.0,CC
1002,0.0,CC
133,0.0,CC
28,0.0,CC
894,0.0,CC
1587,0.0,CC
1380,0.0,CC
1013,0.0,CC
1187,0.0,CC
1162,0.0,CC
439,0.0,CC
1008,2.2591455,MF
1071,0.0,CC
330,0.0,CC
265,0.0,CC
1395,0.0,CC
410,0.0,CC
345,0.0,CC
1457,0.0,CC
9,7.997443,CL
1511,0.0,CC
1107,0.0,CC
788,0.0,CC
1498,0.0,CC
394,0.0,CC
726,0.0,CC
4,9.204393,CL
1122,0.0,CC
174,0.0,CC
1210,9.212884,CL
1606,0.0,CC
77,0.0,CC
313,0.0,CC
125,0.0,CC
1550,0.0,CC
968,0.0,CC
1487,3.54421,CC
1092,0.0,CC
715,0.0,CC
813,0.0,CC
25,0.0,CC
128,0.0,CC
111,0.0,CC
1521,0.0,CC
650,0.0,CC
115,0.0,CC
62,0.0,CC
170,0.0,CC
622,0.0,CC
717,8.700231,CL
266,0.0,CC
983,0.0,CC
1296,0.0,CC
637,0.0,CC
640,3.4054432,CC
555,0.0,CC
506,0.0,CC
1073,2.541422,MF
273,0.0,CC
1393,0.0,CC
498,9.246531,CL
1610,0.0,CC
695,0.0,CC
579,0.0,CC
270,0.0,CC
772,0.0,CC
521,8.755931,CL
211,0.0,CC
110,0.0,CC
832,0.0,CC
910,0.0,CC
150,0.0,CC
796,0.0,CC
1186,0.0,CC
1370,0.0,CC
1485,0.0,CC
940,0.0,CC
166,0.0,CC
1559,0.0,CC
570,0.0,CC
803,0.0,CC
342,2.0908813,MF
853,0.0,CC
798,0.0,CC
240,0.0,CC
1611,0.0,CC
975,0.0,CC
878,9.200375,CL
261,8.232271,CL
140,0.0,CC
1229,0.0,CC
359,0.0,CC
1421,0.0,CC
1435,0.0,CC
1603,0.0,CC
1031,0.0,CC
353,0.0,CC
1597,8.476615,CL
868,0.0,CC
861,0.0,CC
876,0.0,CC
325,7.9167085,CL
135,0.0,CC
1226,2.4563975,MF
354,2.1244175,MF
200,0.0,CC
18,0.0,CC
633,3.669031,CC
830,7.595781,CL
1225,2.412835,MF
701,0.0,CC
978,3.9936569,CC
897,0.0,CC
223,0.0,CC
1090,0.0,CC
1156,0.0,CC
835,0.0,CC
828,8.021693,CL
839,0.0,CC
1192,0.0,CC
1021,0.0,CC
1426,0.0,CC
676,0.0,CC
1374,0.0,CC
731,9.158025,CL
468,0.0,CC
1123,0.0,CC
117,0.0,CC
89,0.0,CC
912,0.0,CC
311,8.102812,CL
237,0.0,CC
7,0.0,CC
750,7.577797,CL
655,0.0,CC
1569,0.0,CC
1494,0.0,CC
1503,0.0,CC
1126,0.0,CC
